,Time,Temperature,TargetPWM,TempSmoothed,TimeShifted,EndValue,63pctEndValue,TempAllSmoothed,TempMean4,TempMean8
3980,274.952,53.34,17.0,53.31757779690304,1791.115,103.5,65.205,53.31757779631465,53.3275,53.29625
3981,275.408,53.29,17.0,53.32433576156212,1791.571,103.5,65.205,53.32433578359866,53.315,53.29625
3982,275.857,53.29,17.0,53.33105316616009,1792.02,103.5,65.205,53.331053210825544,53.315,53.302499999999995
3983,276.306,53.39,17.0,53.337731340214766,1792.469,103.5,65.205,53.33773140615666,53.3275,53.315
3984,276.755,53.29,17.0,53.344366233870716,1792.9180000000001,103.5,65.205,53.34436631853512,53.315,53.32125
3985,277.205,53.39,17.0,53.350946636925734,1793.368,103.5,65.205,53.35094673678115,53.34,53.3275
3986,277.655,53.34,17.0,53.357453111122695,1793.818,103.5,65.205,53.35745322193172,53.3525,53.33375
3987,278.103,53.43,17.0,53.36385785537416,1794.266,103.5,65.205,53.36385797248996,53.362500000000004,53.345
3988,278.552,53.39,17.0,53.370125648200045,1794.7150000000001,103.5,65.205,53.37012576686364,53.3875,53.35125
3989,279.002,53.34,17.0,53.37621591503886,1795.165,103.5,65.205,53.376216030653545,53.37500000000001,53.3575
3990,279.452,53.34,17.0,53.38208585771995,1795.615,103.5,65.205,53.38208596608164,53.375,53.36375
3991,279.907,53.39,17.0,53.387694468641214,1796.07,103.5,65.205,53.38769456610875,53.364999999999995,53.36375
3992,280.356,53.34,17.0,53.393007143680656,1796.519,103.5,65.205,53.39300722727777,53.3525,53.370000000000005
3993,280.807,53.43,17.0,53.39800051652173,1796.97,103.5,65.205,53.398000583971054,53.375,53.375
3994,281.255,53.39,17.0,53.40266707318071,1797.4180000000001,103.5,65.205,53.40266712287874,53.3875,53.38125
3995,281.704,53.48,17.0,53.40701907767512,1797.867,103.5,65.205,53.407019108626024,53.410000000000004,53.3875
3996,282.154,53.43,17.0,53.41109135387028,1798.317,103.5,65.205,53.41109136560265,53.4325,53.3925
3997,282.602,53.43,17.0,53.414942526981704,1798.7649999999999,103.5,65.205,53.41494251947371,53.432500000000005,53.40375
3998,283.052,53.39,17.0,53.41865442934145,1799.2150000000001,103.5,65.205,53.41865440297452,53.432500000000005,53.41
3999,283.503,53.34,17.0,53.422329512956914,1799.666,103.5,65.205,53.42232946850934,53.3975,53.40375
4000,283.959,53.39,17.0,53.42608627617993,1800.122,103.5,65.205,53.426086214860774,53.3875,53.41
4001,284.407,53.48,17.0,53.430052890151174,1800.57,103.5,65.205,53.430052813662385,53.4,53.416250000000005
4002,284.856,53.43,17.0,53.434359386911076,1801.019,103.5,65.205,53.434359297517126,53.410000000000004,53.42125
4003,285.305,53.48,17.0,53.43912892847539,1801.468,103.5,65.205,53.4391288290554,53.445,53.42125
4004,285.754,53.48,17.0,53.444468798587714,1801.917,103.5,65.205,53.444468692645906,53.467499999999994,53.4275
4005,286.203,53.48,17.0,53.45046183226444,1802.366,103.5,65.205,53.450461723880636,53.467499999999994,53.43375
4006,286.654,53.48,17.0,53.457159012323565,1802.817,103.5,65.205,53.45715890603416,53.48,53.44499999999999
4007,287.103,53.43,17.0,53.46457391151792,1803.266,103.5,65.205,53.464573812127654,53.4675,53.45625
4008,287.552,53.43,17.0,53.47267954424853,1803.7150000000001,103.5,65.205,53.4726794565833,53.455,53.46125
4009,288.002,53.39,17.0,53.48140801993199,1804.165,103.5,65.205,53.48140794855155,53.432500000000005,53.45
4010,288.457,53.48,17.0,53.490653173721604,1804.62,103.5,65.205,53.49065312261778,53.4325,53.45625
4011,288.907,53.53,17.0,53.50027610726483,1805.07,103.5,65.205,53.5002760795743,53.457499999999996,53.4625
4012,289.355,53.53,17.0,53.510113323867415,1805.518,103.5,65.205,53.51011332162818,53.4825,53.46875
4013,289.805,53.58,17.0,53.519986911705274,1805.968,103.5,65.205,53.5199869356824,53.53,53.48125
4014,290.254,53.58,17.0,53.529716037735376,1806.417,103.5,65.205,53.52971608733558,53.55499999999999,53.493750000000006
4015,290.703,53.53,17.0,53.53912888286713,1806.866,103.5,65.205,53.539128956154784,53.555,53.506249999999994
4016,291.152,53.53,17.0,53.54807408988822,1807.315,103.5,65.205,53.54807418370646,53.555,53.51875
4017,291.602,53.48,17.0,53.556430817096626,1807.7649999999999,103.5,65.205,53.55643092728708,53.529999999999994,53.53
4018,292.052,53.53,17.0,53.56411659251996,1808.2150000000001,103.5,65.205,53.56411671422399,53.5175,53.536249999999995
4019,292.507,53.58,17.0,53.571092338209525,1808.67,103.5,65.205,53.571092466227384,53.53,53.542500000000004
4020,292.957,53.58,17.0,53.5773641664545,1809.12,103.5,65.205,53.57736429563367,53.54249999999999,53.54875
4021,293.406,53.63,17.0,53.582981819143534,1809.569,103.5,65.205,53.582981944764306,53.58,53.555
4022,293.855,53.63,17.0,53.58803390333772,1810.018,103.5,65.205,53.5880340214634,53.605,53.56125
4023,294.304,53.63,17.0,53.59264034437445,1810.467,103.5,65.205,53.592640452136045,53.6175,53.573750000000004
4024,294.753,53.58,17.0,53.59694270757458,1810.916,103.5,65.205,53.59694280336483,53.61750000000001,53.58
4025,295.202,53.63,17.0,53.60109320958093,1811.365,103.5,65.205,53.601093293140416,53.6175,53.59875
4026,295.652,53.58,17.0,53.605243335033634,1811.815,103.5,65.205,53.605243407421966,53.605000000000004,53.605000000000004
4027,296.102,53.53,17.0,53.60953298562374,1812.2649999999999,103.5,65.205,53.609533049081115,53.580000000000005,53.59875
4028,296.558,53.58,17.0,53.61408101675911,1812.721,103.5,65.205,53.614081074474505,53.58,53.59875
4029,297.007,53.63,17.0,53.61897787053445,1813.17,103.5,65.205,53.61897792634473,53.58,53.59875
4030,297.456,53.58,17.0,53.62428080809877,1813.6190000000001,103.5,65.205,53.62428086614721,53.58,53.5925
4031,297.905,53.67,17.0,53.63001200106307,1814.068,103.5,65.205,53.63001206544626,53.61500000000001,53.5975
4032,298.354,53.63,17.0,53.63615948467933,1814.517,103.5,65.205,53.636159559109934,53.6275,53.603750000000005
4033,298.804,53.72,17.0,53.64268073007169,1814.967,103.5,65.205,53.642680817581734,53.65,53.614999999999995
4034,299.254,53.67,17.0,53.64950838161436,1815.417,103.5,65.205,53.649508484318936,53.6725,53.62625
4035,299.703,53.67,17.0,53.656557546978675,1815.866,103.5,65.205,53.65655766591591,53.6725,53.64375
4036,300.152,53.67,17.0,53.66373393358604,1816.315,103.5,65.205,53.66373406864469,53.682500000000005,53.655
4037,300.602,53.63,17.0,53.670942101226096,1816.7649999999999,103.5,65.205,53.67094225116687,53.66,53.655
4038,301.057,53.63,17.0,53.67809314418111,1817.22,103.5,65.205,53.678093306750455,53.65,53.66125
4039,301.508,53.72,17.0,53.68511121850283,1817.671,103.5,65.205,53.68511139062897,53.6625,53.667500000000004
4040,301.956,53.63,17.0,53.691938477055075,1818.1190000000001,103.5,65.205,53.691938655106796,53.6525,53.667500000000004
4041,302.405,53.72,17.0,53.69853814910568,1818.568,103.5,65.205,53.69853832918631,53.675,53.667500000000004
4042,302.855,53.72,17.0,53.70489568382731,1819.018,103.5,65.205,53.704895862071275,53.6975,53.67375
4043,303.303,53.77,17.0,53.71101804996105,1819.466,103.5,65.205,53.71101822280051,53.71,53.68625
4044,303.752,53.72,17.0,53.71693143154863,1819.915,103.5,65.205,53.716931595923825,53.7325,53.6925
4045,304.202,53.72,17.0,53.722677670418456,1820.365,103.5,65.205,53.722677823915696,53.7325,53.70375
4046,304.652,53.67,17.0,53.72830987320026,1820.815,103.5,65.205,53.728310014112935,53.72,53.708749999999995
4047,305.107,53.77,17.0,53.73388762233878,1821.27,103.5,65.205,53.73388774965547,53.720000000000006,53.715
4048,305.557,53.67,17.0,53.73947221001132,1821.72,103.5,65.205,53.7394723233426,53.707499999999996,53.72
4049,306.006,53.77,17.0,53.74512225822263,1822.1689999999999,103.5,65.205,53.74512235768491,53.720000000000006,53.72625
4050,306.455,53.72,17.0,53.750890007730995,1822.618,103.5,65.205,53.75089009381109,53.7325,53.72625
4051,306.904,53.82,17.0,53.7568184643975,1823.067,103.5,65.205,53.756818537822596,53.745,53.7325
4052,307.353,53.72,17.0,53.76293949557844,1823.516,103.5,65.205,53.76293955721257,53.7575,53.7325
4053,307.802,53.82,17.0,53.76927288145746,1823.9650000000001,103.5,65.205,53.769272932236824,53.769999999999996,53.745
4054,308.252,53.82,17.0,53.77582625443864,1824.415,103.5,65.205,53.775826295347315,53.794999999999995,53.76375
4055,308.702,53.77,17.0,53.782595808455824,1824.865,103.5,65.205,53.78259584053313,53.7825,53.76375
4056,309.158,53.72,17.0,53.7895676304987,1825.321,103.5,65.205,53.7895676548635,53.7825,53.769999999999996
4057,309.607,53.82,17.0,53.79671949691204,1825.77,103.5,65.205,53.796719514786794,53.7825,53.77625
4058,310.056,53.77,17.0,53.8040229827468,1826.219,103.5,65.205,53.804022995466994,53.77,53.7825
4059,310.505,53.82,17.0,53.81144574780793,1826.6680000000001,103.5,65.205,53.8114457568088,53.7825,53.7825
4060,310.954,53.82,17.0,53.81895388186535,1827.117,103.5,65.205,53.81895388864677,53.8075,53.795
4061,311.404,53.87,17.0,53.82651420831418,1827.567,103.5,65.205,53.82651421439182,53.82,53.801249999999996
4062,311.853,53.87,17.0,53.83409645658302,1828.016,103.5,65.205,53.83409646343873,53.845,53.807500000000005
4063,312.302,53.87,17.0,53.841675217269255,1828.4650000000001,103.5,65.205,53.84167522631367,53.8575,53.82
4064,312.752,53.82,17.0,53.84923159130721,1828.915,103.5,65.205,53.84923160386313,53.857499999999995,53.8325
4065,313.202,53.77,17.0,53.85675443872591,1829.365,103.5,65.205,53.85675445603416,53.8325,53.82625
4066,313.657,53.82,17.0,53.86424112869057,1829.82,103.5,65.205,53.86424115193197,53.82,53.832499999999996
4067,314.106,53.92,17.0,53.8716976962317,1830.269,103.5,65.205,53.87169772655323,53.832499999999996,53.845
